step,time,charge,ef_energy,ef_energy_mode1,kinetic_energy,total_energy,momentum,tt_norm,bond_dimension,elapsed_time
1,0.1,12.566396343938,0.125585313929,0.125585313929,6.284820905909,6.410406219838,6.406317e-6,157.39462451688533,13,0.722289085388
2,0.2,12.566384733118,0.122469998169,0.122469968536,6.28957327037,6.412043268539,5.927615e-6,157.39456339040626,13,2.89132809639
3,0.3,12.566369979248,0.1164052134,0.116404963828,6.296876216622,6.413281430022,2.1534809e-5,157.39484153539485,13,3.78066110611
4,0.4,12.566401350392,0.107722450566,0.107721558585,6.306726676313,6.414449126879,5.1504714e-5,157.39478510354164,14,4.840721130371
5,0.5,12.566378418385,0.096894184283,0.096892080387,6.318437751849,6.4153319361320005,3.9199798e-5,157.39481373771034,14,5.782582044601
6,0.6,12.566393418393,0.08448785799,0.084484012048,6.331353637976,6.415841495966,5.8853188e-5,157.3948754318106,14,6.814414024353
7,0.7,12.56640955854,0.071151710261,0.071145897538,6.344922601473,6.416074311734,6.2219824e-5,157.39493226379022,14,8.00462603569
8,0.8,12.566407021606,0.057557371387,0.057549834218,6.358467710437,6.416025081824,0.000108112638,157.3948182633526,15,9.114042043686
9,0.9,12.566426205516,0.044369693097,0.044361247056,6.371401787381,6.415771480478,0.000127695316,157.394517266411,16,10.225722074509
10,1.0,12.566432382808,0.032192908401,0.032184716975,6.383038992665,6.415231901066,8.564982e-5,157.39430761805806,16,12.108549118042
11,1.1,12.566378626491,0.021547734757,0.021541014478,6.392731683503,6.4142794182600005,5.4678511e-5,157.39435548906792,17,14.727632045746
12,1.2,12.566383435596,0.012834389196,0.012829988168,6.400446632853,6.4132810220489995,8.6552989e-5,157.39419577510242,18,15.816498041153
13,1.3,12.566367275192,0.006317243413,0.006315274055,6.405747630862,6.412064874275,6.3561175e-5,157.39432959187386,18,16.843440055847
14,1.4,12.566402507163,0.002108418053,0.002108116461,6.408748653741,6.410857071794,3.5219196e-5,157.3944398685686,19,17.939211130142
15,1.5,12.566375260509,0.000173288636,0.000173120574,6.409568792643,6.409742081279,5.0084712e-5,157.39445493349317,19,18.808573961258
16,1.6,12.566361701481,0.000336540075,0.000334574002,6.408505424084,6.4088419641589995,4.5086799e-5,157.3943993526708,19,19.677186965942
17,1.7,12.566398534588,0.002303019974,0.002297434243,6.405688689198,6.407991709171999,4.9473021e-5,157.39452121255135,19,20.682490110397
18,1.8,12.566388779819,0.005684218037,0.005673832191,6.401772400131,6.407456618167999,5.869642e-5,157.3945905016791,19,21.888235092163
19,1.9,12.566386223073,0.010028933862,0.010013555733,6.39699131722,6.407020251082001,6.1219339e-5,157.39469909382498,19,23.129302024841
20,2.0,12.566383118396,0.014859189351,0.014839752106,6.392035621784,6.406894811135,0.000106641228,157.39480948030945,19,24.393284082413
21,2.1,12.566379475869,0.019702821221,0.019681193423,6.387207848151,6.406910669372,0.000119094597,157.39510463231989,19,27.286808013916
22,2.2,12.566373201084,0.0241289748,0.024107504817,6.383035962807,6.407164937607,0.000136274615,157.39529201015537,19,28.696918010712
23,2.3,12.566376708828,0.027777058503,0.027757972236,6.379778052782,6.407555111285,0.000111978145,157.39550110337672,19,30.061602115631
24,2.4,12.566360553895,0.030369364426,0.030354316583,6.37764995497,6.408019319396,0.000129289449,157.39563079180883,20,31.627887964249
25,2.5,12.566391676717,0.031737117834,0.031726790664,6.376897435161,6.408634552995,0.000113540487,157.39571370684607,21,33.351240158081
26,2.6,12.566406988391,0.031807076965,0.031801249318,6.377392073162,6.409199150127001,7.6815576e-5,157.3958208845089,21,34.833361148834
27,2.7,12.566409417781,0.03062421463,0.030621820692,6.379265582273,6.409889796903,5.288995e-5,157.39562966426988,21,36.414203166962
28,2.8,12.566403533479,0.028321796953,0.028321335752,6.382091917175,6.4104137141279995,6.2491939e-5,157.3955868156986,21,38.461088180542
29,2.9,12.566418027008,0.025114721205,0.025114699561,6.385616705766,6.410731426971,9.0771456e-5,157.3955067754699,22,40.212896108627
30,3.0,12.566430291313,0.021270650452,0.021269920087,6.389806103765,6.411076754217,8.5833016e-5,157.39526857506965,22,42.60246014595
31,3.1,12.566374354217,0.017092678936,0.017090682632,6.393795012207,6.4108876911429995,2.7110703e-5,157.39567985552395,22,47.015480995178
32,3.2,12.566406243246,0.012891217295,0.012888031726,6.397992359005,6.410883576300001,5.7086411e-5,157.39561852436077,22,49.105273962021
33,3.3,12.566363869371,0.008957484982,0.008953663928,6.401580664941,6.410538149923,9.3108247e-5,157.3958171214688,23,50.82710313797
34,3.4,12.566393469157,0.005547582218,0.005543889219,6.404615967766,6.410163549984,7.6576092e-5,157.39594274292963,23,52.401095151901
35,3.5,12.566363571973,0.002861748711,0.002858855037,6.406702519171,6.409564267882,7.4335374e-5,157.39625820201778,23,54.036614179611
36,3.6,12.566379479426,0.001031913862,0.001030158711,6.407983533456,6.409015447318,0.000121150328,157.39642397975823,23,55.597655057907
37,3.7,12.566410479029,0.000116795007,0.000116099945,6.408467860869,6.408584655876,0.000107615728,157.39644990930992,23,57.003816127777
38,3.8,12.56640019112,0.000101524522,0.000101447722,6.408136819365,6.408238343887,0.000110879783,157.39638899272114,23,58.427008152008
39,3.9,12.566353980975,0.000902829469,0.000902738602,6.40684789004,6.407750719509,0.000121868772,157.39660982919165,23,60.092136144638
40,4.0,12.566346248362,0.002379616802,0.00237891482,6.405097039073,6.4074766558750005,0.000108921945,157.39672516650575,24,61.793579101562
41,4.1,12.566339635691,0.00434890294,0.004347197792,6.402932248439,6.407281151379,0.000133555172,157.39679338910443,24,65.290740966797
42,4.2,12.56635615597,0.006600513983,0.006597721611,6.400591282421,6.407191796404,0.000163611528,157.39689678314647,24,66.870750188828
43,4.3,12.566404774297,0.008916339772,0.008912683971,6.398307290919,6.407223630691,0.000189096767,157.39694364602732,24,68.973304986954
44,4.4,12.566375397004,0.011089890249,0.011085788925,6.396283830401,6.40737372065,0.000236327334,157.39698655769962,24,70.852980136871
45,4.5,12.566352635168,0.012936590857,0.012932557958,6.39454179064,6.4074783814969996,0.000230578173,157.3971330738546,25,73.802927017212
46,4.6,12.566361052233,0.014311492205,0.014307983681,6.393403097138,6.407714589343,0.000214886507,157.39714888995238,25,76.089260101318
47,4.7,12.566393145521,0.015116254956,0.015113560541,6.392888846875,6.408005101831,0.000217397327,157.39717851475282,25,77.884382963181
48,4.8,12.566372830571,0.01530399834,0.015302217239,6.393128214106,6.408432212446001,0.000263085553,157.39703413939358,25,79.823376178741
49,4.9,12.566434566777,0.014879124054,0.0148781582,6.394005864145,6.4088849881989995,0.000303998696,157.39683183637337,26,82.266633033752
50,5.0,12.566371590746,0.013893187193,0.013892812251,6.395195204682,6.409088391875001,0.000301337318,157.39692506393584,26,84.016098976135
51,5.1,12.566371998238,0.012440024256,0.012439958932,6.396852686661,6.409292710917,0.000300218117,157.396936203038,26,87.795860052109
52,5.2,12.566386322824,0.010646693003,0.0106466823,6.398815652098,6.409462345101001,0.000294004098,157.39689746347688,26,90.016649961472
53,5.3,12.566428701813,0.008655241765,0.008655118797,6.400919002216,6.409574243981,0.000270692168,157.39670071235602,26,91.859456062317
54,5.4,12.566384116127,0.006618683473,0.006618395755,6.402909374754,6.409528058227,0.000271278087,157.39669309173627,27,95.267169952393
55,5.5,12.566388084201,0.004682235018,0.004681827043,6.404692799165,6.409375034182999,0.000264761544,157.3967045253362,27,97.092563152313
56,5.6,12.566374480946,0.002975187652,0.002974755155,6.406250258426,6.409225446078,0.000233617617,157.3967816158733,28,98.962717056274
57,5.7,12.566418833608,0.00160205727,0.001601700638,6.407317217935,6.408919275205,0.000283627309,157.39683098143348,28,100.771063089371
58,5.8,12.566433868507,0.00063355872,0.000633336793,6.408108579784,6.4087421385039995,0.00028446181,157.39672130288648,28,102.380659103394
