step,time,charge,ef_energy,ef_energy_mode1,kinetic_energy,total_energy,momentum,tt_norm,bond_dimension,elapsed_time
1,0.1,2.05332715847,5.478202e-6,5.478202e-6,0.041169427659,0.041174905861000005,-6.11774e-7,3510.7727793222643,23,0.666157960892
2,0.2,2.053329764541,5.328347e-6,5.328347e-6,0.041169733696,0.041175062043,-1.541747e-6,3510.7675856606947,24,2.634099960327
3,0.3,2.053324635381,5.040493e-6,5.040493e-6,0.041170002521,0.041175043014,-8.60016e-7,3510.7743095865644,27,3.937118053436
4,0.4,2.053336432985,4.626806e-6,4.626806e-6,0.041170586081,0.041175212887,-9.93459e-7,3510.775338682876,29,5.174415111542
5,0.5,2.053336087007,4.11695e-6,4.116949e-6,0.041170988871,0.041175105821,-1.137074e-6,3510.7746239256207,31,6.838315963745
6,0.6,2.053327694434,3.533399e-6,3.533397e-6,0.041171489554,0.041175022953,-7.5383e-7,3510.7806344935207,33,8.356782913208
7,0.7,2.053329990722,2.916556e-6,2.916552e-6,0.041171956136,0.041174872692,3.31831e-7,3510.7824802555997,34,9.733350038528
8,0.8,2.053339578387,2.296977e-6,2.296971e-6,0.041172604592,0.041174901569,1.88163e-7,3510.7717993515944,34,11.534701108932
9,0.9,2.053333895478,1.708535e-6,1.708531e-6,0.041173118161,0.041174826696,2.46488e-7,3510.7675114047497,35,13.314573049545
10,1.0,2.053319900982,1.180892e-6,1.180888e-6,0.041173524489,0.041174705381,-3.85563e-7,3510.7745175919003,35,15.007370948792
11,1.1,2.053331186068,7.35674e-7,7.3567e-7,0.041173874815,0.041174610489,-1.418834e-6,3510.767222225925,36,18.185440063477
12,1.2,2.053325835165,3.92e-7,3.91996e-7,0.041173935411,0.041174327411,-9.60258e-7,3510.774243059061,36,19.941800117493
13,1.3,2.053328165761,1.56108e-7,1.56103e-7,0.041173711778,0.041173867886,-4.07279e-7,3510.7829180649724,36,21.584249973297
14,1.4,2.05332519651,2.8594e-8,2.8588e-8,0.041173764367,0.041173792961,-6.35015e-7,3510.7897422968954,36,23.303559064865
15,1.5,2.053336373732,2.166e-9,2.159e-9,0.041173805419,0.041173807585,-1.05115e-6,3510.789932055751,36,25.270187139511
16,1.6,2.053328470367,6.158e-8,6.1571e-8,0.041173863823,0.041173925403,-5.631e-9,3510.796557953385,36,27.195424079895
17,1.7,2.053331063356,1.86182e-7,1.86172e-7,0.04117377634,0.041173962522,4.44952e-7,3510.7957858272007,36,29.288452148438
18,1.8,2.053339764164,3.51619e-7,3.51609e-7,0.041173678345,0.041174029964,-3.45314e-7,3510.7900464817208,36,31.113774061203
19,1.9,2.053331768957,5.31868e-7,5.31862e-7,0.041173285673,0.041173817541,-1.465061e-6,3510.796381930488,36,32.962490081787
20,2.0,2.053325014663,7.0126e-7,7.01257e-7,0.041173118782,0.041173820042,-1.40112e-6,3510.8014934101448,35,34.632390022278
21,2.1,2.05333492208,8.37911e-7,8.37909e-7,0.041172856513,0.041173694424,-1.702766e-6,3510.8002861166574,35,37.619328975677
22,2.2,2.053337424155,9.2457e-7,9.24563e-7,0.041172781501,0.041173706070999995,-8.14139e-7,3510.795817232784,35,39.591211080551
23,2.3,2.053328381548,9.48149e-7,9.48127e-7,0.041172860204,0.041173808353,-1.987842e-6,3510.8003534726904,35,41.854865074158
24,2.4,2.053327088563,9.06792e-7,9.06739e-7,0.041172951171,0.041173857963,-2.146492e-6,3510.8051174794914,35,43.550462961197
25,2.5,2.053330781177,8.04095e-7,8.03992e-7,0.041173200776,0.041174004871,-2.778953e-6,3510.8079538723355,35,45.443396091461
26,2.6,2.053333093819,6.53726e-7,6.53558e-7,0.041173450069,0.041174103795,-2.759266e-6,3510.812717853107,35,47.652778148651
27,2.7,2.053326685064,4.73917e-7,4.73666e-7,0.041173743592,0.041174217509,-7.11999e-7,3510.8125064064334,35,49.417791128159
28,2.8,2.053331957531,2.90536e-7,2.90198e-7,0.041174070058,0.041174360594,-9.75332e-7,3510.811790385032,35,51.752694129944
29,2.9,2.053326262075,1.30898e-7,1.30473e-7,0.041174047752,0.041174178650000004,-2.436708e-6,3510.8161552951483,35,54.094476938248
30,3.0,2.053324325985,2.5731e-8,2.523e-8,0.041174138891,0.041174164622,-2.643156e-6,3510.8252810608087,35,55.916402101517
31,3.1,2.05332561461,4.828e-9,4.279e-9,0.041174005036,0.041174009864,-2.597815e-6,3510.8244974837917,35,58.847742080688
32,3.2,2.053319972811,9.5009e-8,9.4441e-8,0.041173800382,0.041173895391,-3.277252e-6,3510.828407110332,35,60.694957971573
33,3.3,2.05333008792,3.17066e-7,3.16522e-7,0.041173575913,0.041173892978999996,-4.069325e-6,3510.823819037312,35,62.516756057739
34,3.4,2.053327657136,6.84261e-7,6.83767e-7,0.041173004872,0.041173689133,-3.997999e-6,3510.823204944289,35,64.773355007172
35,3.5,2.053324507069,1.203567e-6,1.203158e-6,0.041172275435,0.041173479002,-3.201839e-6,3510.8232843476735,34,67.008397102356
36,3.6,2.053335783635,1.87178e-6,1.871475e-6,0.041171373132,0.041173244912,-4.543175e-6,3510.824285433196,34,68.67732000351
37,3.7,2.053329190926,2.672245e-6,2.672046e-6,0.041170497516,0.041173169761,-6.17759e-6,3510.8260324797543,33,70.592572927475
38,3.8,2.053336002322,3.585575e-6,3.585478e-6,0.041169508279,0.041173093854,-6.807048e-6,3510.822517296664,33,72.233566045761
39,3.9,2.053326391765,4.580083e-6,4.580053e-6,0.041168423378,0.041173003461,-7.391361e-6,3510.826379626331,33,73.7074239254
40,4.0,2.053325171056,5.621035e-6,5.621033e-6,0.041167553946,0.041173174981,-7.832697e-6,3510.8322073676145,34,75.632857084274
41,4.1,2.053333366738,6.665943e-6,6.665932e-6,0.041166602913,0.041173268856,-7.636446e-6,3510.827107009994,34,78.210472106934
42,4.2,2.053336346629,7.669048e-6,7.668995e-6,0.041165661592,0.04117333064,-8.764683e-6,3510.8198967200456,35,79.602213144302
43,4.3,2.053340465475,8.588727e-6,8.588604e-6,0.041164858055,0.041173446782,-8.51634e-6,3510.8143570648454,35,81.086921930313
44,4.4,2.053336453539,9.393297e-6,9.393091e-6,0.041163992853,0.04117338615,-8.767751e-6,3510.8188272208945,36,82.764233112335
45,4.5,2.053336787464,1.0049036e-5,1.0048739e-5,0.041163381524,0.04117343056,-9.533196e-6,3510.8155275775102,37,84.517162084579
46,4.6,2.053326427917,1.0527797e-5,1.0527421e-5,0.041163047066,0.041173574862999995,-1.0960584e-5,3510.8148453215567,37,86.734813928604
47,4.7,2.053332540827,1.0816583e-5,1.081616e-5,0.041162761315,0.041173577898,-1.0986378e-5,3510.8126722423426,37,88.465099096298
48,4.8,2.053325527945,1.0907515e-5,1.0907085e-5,0.041162646343,0.041173553858,-1.2200131e-5,3510.8260187695264,38,91.150537967682
49,4.9,2.053338357464,1.079901e-5,1.0798618e-5,0.041162941889,0.041173740899,-1.1879414e-5,3510.819273824521,40,93.260956048965
50,5.0,2.053323034575,1.050572e-5,1.0505404e-5,0.041163301397,0.041173807117,-1.2373015e-5,3510.82647813543,41,95.727216959
51,5.1,2.053326589404,1.0046247e-5,1.0046027e-5,0.041163871501,0.04117391774800001,-1.3513426e-5,3510.8281664221518,43,99.708998918533
52,5.2,2.053332498955,9.449709e-6,9.449577e-6,0.04116430584,0.041173755549,-1.4469113e-5,3510.823027010927,44,101.910187005997
53,5.3,2.053334098397,8.744588e-6,8.744528e-6,0.041165003546,0.041173748134,-1.6251424e-5,3510.823778486296,44,104.058799982071
54,5.4,2.05332243082,7.967766e-6,7.967748e-6,0.041165854449,0.041173822214999996,-1.7200644e-5,3510.8337655173664,44,106.277904033661
55,5.5,2.053325246201,7.15213e-6,7.152113e-6,0.041166668534,0.041173820664,-1.7439949e-5,3510.842994590771,44,108.609533071518
56,5.6,2.053334984731,6.328802e-6,6.328734e-6,0.041167655634,0.041173984436000004,-1.7247912e-5,3510.8457168863233,44,110.735280990601
57,5.7,2.053323777521,5.532917e-6,5.532747e-6,0.041168450298,0.041173983215,-1.8805209e-5,3510.85750455696,45,113.544877052307
58,5.8,2.053329456472,4.785212e-6,4.784896e-6,0.041169394819,0.041174180031,-1.9036059e-5,3510.856782562171,45,115.966324090958
59,5.9,2.053327276008,4.107885e-6,4.107384e-6,0.041170061706,0.041174169591,-1.8936394e-5,3510.8652453830155,46,118.278664112091
60,6.0,2.053328103854,3.511515e-6,3.510781e-6,0.04117060747,0.041174118985,-1.8128375e-5,3510.874234129578,47,120.998240947723
61,6.1,2.053322648399,3.00697e-6,3.005953e-6,0.041171134369,0.041174141339,-1.9723245e-5,3510.8797740567497,47,125.349831104279
62,6.2,2.05333269826,2.59887e-6,2.597527e-6,0.041171485103,0.041174083973,-2.0851159e-5,3510.885138580889,48,128.635805130005
63,6.3,2.0533238977,2.283688e-6,2.281996e-6,0.04117187453,0.041174158218,-1.9638511e-5,3510.8968359792643,48,132.003108024597
64,6.4,2.053323794411,2.059531e-6,2.057428e-6,0.041172053568,0.041174113099,-1.9561786e-5,3510.902667674171,48,135.142893075943
65,6.5,2.053323208241,1.925762e-6,1.923176e-6,0.041172205324,0.041174131085999995,-2.0159989e-5,3510.8993117339455,48,138.236675977707
66,6.6,2.053331575315,1.880357e-6,1.877199e-6,0.04117225251,0.041174132867,-2.011658e-5,3510.900849673169,48,141.769200086594
67,6.7,2.053325597732,1.92647e-6,1.92267e-6,0.041171955228,0.041173881697999994,-1.934719e-5,3510.9131941117726,48,144.56499004364
68,6.8,2.053325838403,2.072595e-6,2.068029e-6,0.041171698812,0.041173771407,-1.8720147e-5,3510.916238840209,48,147.274497032166
69,6.9,2.053335833172,2.334347e-6,2.328897e-6,0.041171414403,0.041173748749999996,-1.8255781e-5,3510.9154826871813,48,150.043178081512
70,7.0,2.053326024741,2.732646e-6,2.726187e-6,0.041170916473,0.041173649119000004,-1.9239333e-5,3510.9217196547465,49,152.618005990982
71,7.1,2.053333549123,3.293899e-6,3.286292e-6,0.041170322034,0.041173615933,-1.9203818e-5,3510.9222112343346,49,157.481334924698
72,7.2,2.053330170723,4.051452e-6,4.04262e-6,0.041169360709,0.041173412161,-1.95338e-5,3510.9182162660086,50,159.898478031158
73,7.3,2.053339380949,5.043245e-6,5.033072e-6,0.041168224201,0.041173267446,-1.9362568e-5,3510.9072497844004,50,162.585443019867
74,7.4,2.053326814775,6.30925e-6,6.297688e-6,0.041166679713,0.041172988963,-1.9568747e-5,3510.90896493939,51,165.397076129913
75,7.5,2.053329154882,7.889101e-6,7.876121e-6,0.041164905615,0.041172794715999994,-1.9892094e-5,3510.9176701469837,51,168.214910984039
76,7.6,2.053327934781,9.82134e-6,9.806958e-6,0.041162921081,0.041172742421000004,-2.2608472e-5,3510.919654143042,51,172.029809951782
77,7.7,2.053329881238,1.2139403e-5,1.2123703e-5,0.04116045958,0.041172598983000006,-2.173028e-5,3510.9180015861757,52,175.633836984634
78,7.8,2.053330172321,1.4866202e-5,1.4849209e-5,0.041157507112,0.041172373314000005,-2.0935217e-5,3510.9276939363967,51,179.190460920334
79,7.9,2.053325028484,1.8015152e-5,1.799697e-5,0.04115421921,0.041172234362,-2.0510935e-5,3510.939264646215,51,182.787769079208
80,8.0,2.053332970725,2.158971e-5,2.1570543e-5,0.04115058807,0.04117217778,-1.92069e-5,3510.942114187315,52,186.445261001587
81,8.1,2.053333417865,2.5577888e-5,2.5557938e-5,0.041146651423,0.041172229311,-1.9824378e-5,3510.9384347509185,52,192.605620145798
82,8.2,2.053334392141,2.995977e-5,2.9939223e-5,0.041142220913,0.041172180683,-2.0081955e-5,3510.9375866980863,53,196.520566940308
83,8.3,2.053323542707,3.469062e-5,3.4669649e-5,0.041137567673,0.041172258293,-2.021432e-5,3510.9424348216885,54,199.836303949356
84,8.4,2.053332399948,3.9729096e-5,3.9707766e-5,0.041132538781,0.041172267877,-2.124376e-5,3510.9445992252654,54,203.988577127457
85,8.5,2.053337382052,4.5011447e-5,4.49899e-5,0.041127280874,0.041172292321,-2.2322939e-5,3510.9458697305467,56,207.562196969986
86,8.6,2.053324160372,5.0464064e-5,5.0442281e-5,0.041121652116,0.04117211618,-2.3558075e-5,3510.9555426772713,57,212.2450299263
87,8.7,2.053328715541,5.600612e-5,5.5984053e-5,0.041115936284,0.041171942404,-2.4284696e-5,3510.9658196253654,58,216.703231096268
88,8.8,2.053340140293,6.1561472e-5,6.1538987e-5,0.041110789575,0.041172351047000004,-2.4278113e-5,3510.9599091793,59,221.262880086899
89,8.9,2.053333169702,6.7061445e-5,6.7038304e-5,0.041105763077,0.041172824522,-2.5141061e-5,3510.9489300042783,60,226.414930105209
90,9.0,2.053329707728,7.2431471e-5,7.2407431e-5,0.041100528548,0.041172960019,-2.5178822e-5,3510.9537009801466,61,230.969293117523
91,9.1,2.053336263733,7.7600018e-5,7.757472e-5,0.041095523617,0.041173123635,-2.5095206e-5,3510.940216968691,62,238.312205076218
92,9.2,2.053336934076,8.2519916e-5,8.2492779e-5,0.041090797172,0.041173317088000004,-2.5476078e-5,3510.93820735786,63,244.004883050919
93,9.3,2.053329693234,8.7139939e-5,8.7110316e-5,0.041086302271,0.04117344221,-2.5316119e-5,3510.944001761989,65,248.919273138046
94,9.4,2.053328629778,9.1444852e-5,9.1411733e-5,0.041081960079,0.041173404931,-2.5396646e-5,3510.948928103933,66,254.78077507019
95,9.5,2.053334426033,9.542237e-5,9.538451e-5,0.041078320959,0.041173743329,-2.4288953e-5,3510.9502338866123,67,259.927586078644
96,9.6,2.053325806019,9.9059254e-5,9.9015032e-5,0.041074840386,0.04117389964,-2.371052e-5,3510.96032816095,66,266.222804069519
97,9.7,2.053332384115,0.000102417816,0.000102365196,0.041071552842,0.041173970658,-2.2912788e-5,3510.9644303532837,67,272.187399148941
98,9.8,2.053339734363,0.000105521686,0.000105458297,0.041068785289,0.041174306975,-2.2498426e-5,3510.956241082964,69,277.326094150543
99,9.9,2.053327623327,0.000108420029,0.000108342753,0.041065966363,0.041174386392,-2.1634937e-5,3510.9657674391315,71,284.056699991226
100,10.0,2.053323961459,0.000111192745,0.000111097662,0.041063243522,0.041174436267,-2.0300756e-5,3510.976258590521,71,291.183486938477
101,10.1,2.05332545099,0.000113916284,0.000113798745,0.041060540631,0.041174456915000004,-2.0477738e-5,3510.9782462817734,72,300.323466062546
102,10.2,2.053319786298,0.000116683857,0.000116537996,0.041057442668,0.041174126525,-2.0698455e-5,3510.9882357950632,73,306.187449932098
103,10.3,2.053335788928,0.000119623148,0.000119441903,0.041054409342,0.04117403249,-1.906927e-5,3510.9850929306285,74,312.802125930786
104,10.4,2.053325272659,0.000122831164,0.0001226061,0.041051124464,0.041173955628,-1.9630116e-5,3510.988830742124,75,319.719484090805
105,10.5,2.053329675304,0.000126412645,0.000126133999,0.041047102055,0.0411735147,-1.9459318e-5,3510.9879129302876,74,327.735525131226
106,10.6,2.05333681226,0.000130506367,0.00013016245,0.041042537996,0.041173044363000004,-1.9559552e-5,3510.986181736564,75,334.525171995163
