bond_dim_1,bond_dim_2,bond_dim_3,bond_dim_4,bond_dim_5,bond_dim_6,bond_dim_7,bond_dim_8,bond_dim_9,bond_dim_10,bond_dim_11,bond_dim_12,bond_dim_13,bond_dim_14,bond_dim_15,bond_dim_16,bond_dim_17,bond_dim_18,bond_dim_19
2,4,8,14,16,23,19,20,17,12,10,6,6,4,5,4,5,4,2
2,4,8,15,18,24,23,22,20,13,11,7,6,4,5,4,5,4,2
2,4,8,16,20,27,25,24,21,14,12,8,6,4,5,4,5,4,2
2,4,8,16,20,29,28,24,23,14,12,8,6,4,5,4,5,4,2
2,4,8,16,20,31,29,24,23,14,13,8,6,4,5,4,5,4,2
2,4,8,16,23,33,31,24,23,14,14,8,6,4,5,4,5,4,2
2,4,8,16,24,34,31,25,24,14,14,9,8,6,6,4,5,4,2
2,4,8,16,25,34,31,25,24,14,14,9,8,6,6,4,5,4,2
2,4,8,16,25,35,32,26,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,35,32,25,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,36,33,26,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,27,36,33,26,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,27,36,33,26,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,27,36,33,27,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,27,36,33,26,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,36,33,26,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,36,33,26,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,36,33,26,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,36,33,25,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,35,33,25,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,35,33,27,25,15,15,11,10,8,7,5,5,4,2
2,4,8,16,26,35,32,25,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,35,32,25,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,35,32,25,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,35,32,25,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,35,33,26,25,15,15,11,10,8,7,5,5,4,2
2,4,8,16,26,35,33,26,25,15,15,11,10,8,7,5,5,4,2
2,4,8,16,26,35,33,25,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,35,33,25,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,35,33,25,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,35,33,25,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,35,33,25,24,15,15,11,10,8,7,5,5,4,2
2,4,8,16,26,35,33,25,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,35,32,25,23,14,14,9,9,7,6,4,5,4,2
2,4,8,16,26,34,32,25,23,14,13,8,7,6,6,4,5,4,2
2,4,8,16,25,34,31,24,23,14,13,8,7,6,6,4,5,4,2
2,4,8,16,24,33,31,24,23,14,13,8,7,5,6,4,5,4,2
2,4,8,16,24,33,31,24,23,14,13,8,6,4,5,4,5,4,2
2,4,8,16,24,33,31,24,23,15,13,8,6,4,5,4,5,4,2
2,4,8,16,24,34,31,24,24,15,13,8,6,4,5,4,5,4,2
2,4,8,16,24,34,32,24,23,14,13,8,6,4,5,4,5,4,2
2,4,8,16,24,35,32,24,23,14,13,8,6,4,5,4,5,4,2
2,4,8,16,25,35,32,24,23,14,13,8,6,4,5,4,5,4,2
2,4,8,16,25,36,32,25,23,14,13,8,6,4,5,4,5,4,2
2,4,8,16,25,37,33,25,23,14,13,8,6,4,5,4,5,4,2
2,4,8,16,25,37,34,25,23,14,14,9,8,6,6,4,5,4,2
2,4,8,16,26,37,34,26,24,14,14,9,9,7,6,4,5,4,2
2,4,8,16,27,38,35,26,24,14,14,8,8,7,6,4,5,4,2
2,4,8,16,28,40,35,26,24,14,14,8,8,7,6,4,5,4,2
2,4,8,16,29,41,36,27,24,14,14,8,7,6,6,4,5,4,2
2,4,8,16,30,43,38,28,24,14,14,8,7,6,5,4,5,4,2
2,4,8,16,30,44,39,29,25,14,14,8,8,6,5,4,5,4,2
2,4,8,16,30,44,40,29,25,14,14,8,8,7,6,4,5,4,2
2,4,8,16,31,44,41,30,25,14,14,9,9,7,6,4,5,4,2
2,4,8,16,31,44,41,29,25,14,14,8,8,7,6,4,5,4,2
2,4,8,16,31,44,41,28,25,14,14,8,8,7,6,4,5,4,2
2,4,8,16,31,45,42,29,25,14,14,8,9,7,6,4,5,4,2
2,4,8,16,32,45,44,30,26,14,14,8,9,7,6,4,5,4,2
2,4,8,16,32,46,45,30,26,14,14,9,10,8,7,5,5,4,2
2,4,8,16,32,47,45,31,26,15,15,9,10,8,7,5,5,4,2
2,4,8,16,32,47,46,32,27,15,15,10,11,8,7,5,5,4,2
2,4,8,16,32,48,46,32,27,16,15,10,11,8,7,5,5,4,2
2,4,8,16,32,48,47,33,27,16,15,10,11,8,7,5,5,4,2
2,4,8,16,32,48,47,33,27,17,15,10,11,8,7,5,5,4,2
2,4,8,16,32,48,47,33,27,17,15,10,11,8,7,5,5,4,2
2,4,8,16,32,48,47,33,27,16,15,9,10,8,7,5,5,4,2
2,4,8,16,32,48,47,32,26,15,14,8,9,7,6,5,5,4,2
2,4,8,16,32,48,47,32,26,15,14,8,9,7,6,5,5,4,2
2,4,8,16,32,48,48,33,27,15,14,8,9,7,6,5,6,4,2
2,4,8,16,32,49,48,33,27,15,14,8,9,7,6,5,6,4,2
2,4,8,16,32,49,48,32,26,15,14,8,9,7,6,5,6,4,2
2,4,8,16,32,50,49,33,27,16,14,8,9,7,6,5,6,4,2
2,4,8,16,32,50,50,35,28,17,15,9,9,7,6,5,6,4,2
2,4,8,16,32,51,51,35,28,17,15,9,9,7,6,5,5,4,2
2,4,8,16,32,51,51,35,28,17,15,9,9,7,6,5,5,4,2
2,4,8,16,32,51,51,36,28,17,15,9,9,7,6,5,5,4,2
2,4,8,16,32,51,52,37,29,18,15,9,9,7,6,5,5,4,2
2,4,8,16,32,51,51,35,28,17,15,9,9,7,6,5,5,4,2
2,4,8,16,32,51,51,35,28,17,15,9,9,7,6,5,5,4,2
2,4,8,16,32,51,52,36,29,17,15,9,9,7,6,5,5,4,2
2,4,8,16,32,52,52,36,29,18,15,9,9,7,6,5,5,4,2
2,4,8,16,32,52,53,36,29,18,15,9,9,7,6,5,5,4,2
2,4,8,16,32,53,54,36,29,18,15,9,9,7,7,6,5,4,2
2,4,8,16,32,53,54,36,29,18,15,9,9,7,7,6,5,4,2
2,4,8,16,32,53,56,38,31,20,16,10,10,8,7,6,5,4,2
2,4,8,16,32,54,57,38,31,20,16,10,10,8,7,6,5,4,2
2,4,8,16,32,54,58,39,32,20,16,10,10,8,8,6,5,4,2
2,4,8,16,32,54,59,39,33,21,17,10,10,8,8,6,5,4,2
2,4,8,16,32,55,60,39,33,21,16,10,10,8,8,7,5,4,2
2,4,8,16,32,56,61,40,33,21,17,11,10,8,8,7,5,4,2
2,4,8,16,32,56,62,42,35,22,18,12,11,8,8,7,5,4,2
2,4,8,16,32,57,63,43,35,22,18,12,11,8,8,7,5,4,2
2,4,8,16,32,57,65,45,37,23,19,13,12,9,9,7,5,4,2
2,4,8,16,32,57,66,44,35,21,17,11,10,8,8,7,5,4,2
2,4,8,16,32,57,67,45,36,21,17,11,10,8,8,7,5,4,2
2,4,8,16,32,58,66,43,36,21,17,12,10,8,8,7,5,4,2
2,4,8,16,32,58,67,43,36,21,17,12,10,8,8,7,5,4,2
2,4,8,16,32,59,69,45,37,21,17,12,10,8,8,7,5,4,2
2,4,8,16,32,59,71,46,38,23,20,14,12,9,9,7,5,4,2
2,4,8,16,32,59,71,46,37,21,19,13,11,8,9,7,5,4,2
2,4,8,16,32,59,72,47,38,23,20,13,11,8,9,7,5,4,2
2,4,8,16,32,59,73,47,38,23,21,14,12,8,9,7,5,4,2
2,4,8,16,32,60,74,48,39,24,22,14,12,8,9,7,5,4,2
2,4,8,16,32,60,75,49,40,26,23,15,13,9,9,7,5,4,2
2,4,8,16,32,60,74,47,38,23,21,13,11,9,9,7,5,4,2
2,4,8,16,32,61,75,48,39,25,22,14,12,9,9,7,6,4,2
2,4,8,16,32,61,77,49,39,24,21,13,11,8,9,7,6,4,2
2,4,8,16,32,62,77,48,38,24,20,12,10,8,8,7,5,4,2
2,4,8,16,32,62,79,51,39,25,21,13,11,9,9,7,5,4,2
2,4,8,16,32,62,80,52,40,26,22,14,12,9,9,7,5,4,2
2,4,8,16,32,62,81,54,42,27,23,15,12,9,9,7,5,4,2
2,4,8,16,32,62,82,55,43,28,23,15,12,9,9,7,5,4,2
2,4,8,16,32,62,83,56,45,29,24,16,14,10,10,8,6,4,2
2,4,8,16,32,62,83,56,44,28,24,16,14,10,10,8,6,4,2
2,4,8,16,32,62,83,56,44,28,24,16,14,10,10,8,6,4,2
2,4,8,16,32,62,84,56,45,29,24,16,14,10,10,8,6,4,2
2,4,8,16,32,63,84,56,45,29,25,17,14,10,10,8,6,4,2
2,4,8,16,32,63,86,58,47,31,26,18,15,11,10,8,6,4,2
2,4,8,16,32,64,87,59,49,33,27,19,15,11,10,8,6,4,2
2,4,8,16,32,64,87,59,48,31,26,18,15,11,10,8,6,4,2
2,4,8,16,32,64,88,60,48,31,26,18,16,12,10,8,6,4,2
2,4,8,16,32,63,89,62,49,32,27,19,16,12,10,8,6,4,2
2,4,8,16,32,64,89,63,49,31,26,18,16,12,10,8,6,4,2
2,4,8,16,32,64,91,66,51,33,28,20,17,12,10,8,6,4,2
2,4,8,16,32,64,92,67,51,33,28,20,17,12,10,8,6,4,2
2,4,8,16,32,64,94,69,53,36,29,20,17,12,10,8,6,4,2
2,4,8,16,32,63,95,68,53,36,29,20,17,12,10,8,6,4,2
2,4,8,16,32,64,95,67,53,36,29,20,17,12,10,8,6,4,2
2,4,8,16,32,64,96,68,52,35,28,20,17,12,10,8,6,4,2
2,4,8,16,32,64,97,69,53,35,28,19,16,12,10,8,6,4,2
2,4,8,16,32,64,99,72,56,38,30,21,17,12,10,8,6,4,2
2,4,8,16,32,64,99,72,56,38,31,21,17,12,10,8,6,4,2
2,4,8,16,32,64,100,73,56,38,30,20,17,12,10,8,6,4,2
2,4,8,16,32,64,101,76,59,39,32,21,17,12,10,8,6,4,2
2,4,8,16,32,64,103,75,58,38,31,21,17,12,10,8,6,4,2
2,4,8,16,32,64,103,78,61,40,33,22,18,12,10,8,6,4,2
2,4,8,16,32,64,104,80,62,41,32,21,18,12,10,8,6,4,2
2,4,8,16,32,64,105,80,62,42,33,22,18,12,10,8,6,4,2
2,4,8,16,32,64,106,82,64,43,33,22,18,12,10,8,6,4,2
2,4,8,16,32,64,107,83,64,43,34,22,18,12,10,8,6,4,2
2,4,8,16,32,64,109,83,61,39,30,20,16,11,9,8,6,4,2
2,4,8,16,32,64,110,86,64,42,32,21,17,12,11,9,6,4,2
2,4,8,16,32,64,112,88,66,43,32,22,18,12,11,9,6,4,2
2,4,8,16,32,64,113,89,68,44,34,24,19,13,12,9,6,4,2
2,4,8,16,32,64,115,93,72,47,36,25,20,14,12,9,6,4,2
2,4,8,16,32,64,117,94,72,46,35,25,19,14,12,9,6,4,2
2,4,8,16,32,64,117,97,75,47,36,25,18,13,12,10,6,4,2
2,4,8,16,32,64,118,98,75,47,36,25,19,14,12,10,6,4,2
2,4,8,16,32,64,118,99,76,49,37,25,20,14,12,10,6,4,2
2,4,8,16,32,64,120,102,78,53,39,26,21,15,13,10,6,4,2
2,4,8,16,32,64,120,106,80,54,40,27,21,15,13,10,6,4,2
2,4,8,16,32,64,121,106,81,54,41,27,21,15,13,10,6,4,2
2,4,8,16,32,64,122,108,82,54,41,28,22,15,13,10,6,4,2
2,4,8,16,32,64,123,110,85,56,42,28,22,15,13,10,6,4,2
2,4,8,16,32,64,124,115,90,60,45,31,24,16,14,10,6,4,2
2,4,8,16,32,64,124,118,91,59,44,30,23,15,13,10,6,4,2
2,4,8,16,32,64,124,121,94,63,46,31,23,16,14,11,6,4,2
2,4,8,16,32,64,124,121,93,62,45,31,23,16,14,10,6,4,2
2,4,8,16,32,64,125,124,96,66,47,32,24,17,14,11,6,4,2
2,4,8,16,32,64,125,127,97,66,47,32,24,17,14,11,6,4,2
2,4,8,16,32,64,126,130,100,66,48,32,23,16,14,11,6,4,2
