step,time,charge,ef_energy,ef_energy_mode1,kinetic_energy,total_energy,momentum,tt_norm,bond_dimension,elapsed_time
1,0.1,2.053360832939,5.455614e-6,5.455613e-6,0.041171980483,0.041177436096999996,-6.572882e-6,3510.7206324163685,14,0.669584035873
2,0.2,2.053357722972,5.308961e-6,5.308947e-6,0.041173132766,0.041178441727,-5.773787e-6,3510.682842401781,16,2.575640201569
3,0.3,2.053348455784,5.025258e-6,5.025253e-6,0.041171245113,0.041176270371,-7.558637e-6,3510.6570750562228,19,4.194272994995
4,0.4,2.053337194003,4.61931e-6,4.619303e-6,0.041169653058,0.041174272368,-6.301725e-6,3510.6441772584253,21,5.620844125748
5,0.5,2.053334877624,4.110011e-6,4.110005e-6,0.0411682725,0.041172382511,-5.738795e-6,3510.6426867154296,21,7.12842798233
6,0.6,2.053330798294,3.533338e-6,3.53333e-6,0.041167779437,0.041171312775,-4.537424e-6,3510.6438035266774,21,8.541666984558
7,0.7,2.053332682159,2.919246e-6,2.919233e-6,0.041167489513,0.041170408759,-2.628076e-6,3510.6435729711898,21,10.520181179047
8,0.8,2.053325399201,2.29889e-6,2.298874e-6,0.041167292348,0.041169591238,-2.172204e-6,3510.648004309469,21,12.09138917923
9,0.9,2.053326675302,1.710701e-6,1.710681e-6,0.04116731793,0.041169028631000006,-2.115878e-6,3510.6521736952154,21,13.748475074768
10,1.0,2.053322522974,1.18097e-6,1.180953e-6,0.041167301651,0.041168482621,-1.96472e-6,3510.661320948529,21,15.130560159683
11,1.1,2.053327984141,7.34069e-7,7.34046e-7,0.041167178554,0.041167912623,-1.82544e-7,3510.6568271558167,21,17.449983119965
12,1.2,2.053325789787,3.88383e-7,3.8836e-7,0.041168305283,0.041168693666,5.01326e-7,3510.670080146727,21,19.289910078049
13,1.3,2.053309234504,1.52332e-7,1.52309e-7,0.041167663563,0.041167815895,4.34774e-7,3510.7259955462264,22,21.072048187256
14,1.4,2.05332857325,2.6723e-8,2.671e-8,0.041167629798,0.041167656521,6.39518e-7,3510.741219254533,22,23.001991033554
15,1.5,2.053325564594,3.071e-9,3.058e-9,0.041167700048,0.041167703119000004,-1.254765e-6,3510.7568733461,22,24.591345071793
16,1.6,2.053312255498,6.7341e-8,6.7329e-8,0.041167815359,0.0411678827,-1.227497e-6,3510.7711609865914,22,26.19947218895
17,1.7,2.053326398219,1.98533e-7,1.98523e-7,0.041167679844,0.041167878377,-6.2435e-7,3510.789487870044,22,28.131010055542
18,1.8,2.053344040054,3.71302e-7,3.71294e-7,0.041167589043,0.041167960345,-3.33157e-7,3510.7723670732275,22,30.086068153381
19,1.9,2.053333795969,5.61347e-7,5.61341e-7,0.041167182849,0.041167744196,-1.349749e-6,3510.775634008237,22,31.48807311058
20,2.0,2.053308734233,7.36857e-7,7.3685e-7,0.041167222353,0.04116795921,-1.154477e-6,3510.78730935313,22,33.021886110306
21,2.1,2.053334798846,8.78254e-7,8.78243e-7,0.041167039752,0.041167918006,-1.763948e-6,3510.7874583399794,21,35.173020124435
22,2.2,2.053318686629,9.68656e-7,9.6863e-7,0.041167129397,0.041168098053,-1.435288e-6,3510.8069683916933,21,36.534744024277
23,2.3,2.053313593157,9.92772e-7,9.9272e-7,0.041167243817,0.041168236589,-1.238792e-6,3510.8269752856127,21,37.970578193665
24,2.4,2.053309832587,9.5135e-7,9.51249e-7,0.041167408512,0.041168359862,-1.517644e-6,3510.852750427817,21,39.891473054886
25,2.5,2.053316764691,8.4632e-7,8.4615e-7,0.041167659842,0.041168506162,-1.410511e-6,3510.869008800105,21,41.233114004135
26,2.6,2.053313674274,6.90195e-7,6.89955e-7,0.041167771086,0.041168461281,-1.28923e-6,3510.8937236255747,21,42.522145032883
27,2.7,2.05332975099,5.02795e-7,5.02401e-7,0.041168173625,0.04116867642,-1.790663e-6,3510.8970710212534,21,43.840465068817
28,2.8,2.053321688936,3.09465e-7,3.08948e-7,0.041168381753,0.041168691218,-1.969679e-6,3510.9065805843247,21,45.125697135925
29,2.9,2.05332412105,1.41302e-7,1.40688e-7,0.041168720746,0.04116886204799999,-2.295199e-6,3510.90996493647,21,46.483119010925
30,3.0,2.053328043357,2.9392e-8,2.8715e-8,0.041168941625,0.041168971017,-2.671439e-6,3510.912411422201,21,48.075685024261
31,3.1,2.05332643507,4.052e-9,3.354e-9,0.041168945054,0.041168949106,-3.190865e-6,3510.9165410612763,21,50.60809803009
32,3.2,2.053318855623,9.2235e-8,9.1691e-8,0.041169178931,0.041169271166,-2.989852e-6,3510.9274869367528,21,51.987958192825
33,3.3,2.053321020787,3.15027e-7,3.14534e-7,0.041169428202,0.041169743229,-4.529396e-6,3510.935195308188,21,53.401095151901
