bond_dim_1,bond_dim_2,bond_dim_3,bond_dim_4,bond_dim_5,bond_dim_6,bond_dim_7,bond_dim_8,bond_dim_9,bond_dim_10,bond_dim_11,bond_dim_12,bond_dim_13,bond_dim_14,bond_dim_15,bond_dim_16,bond_dim_17,bond_dim_18,bond_dim_19
2,4,8,16,31,38,36,27,23,14,12,8,6,4,5,4,5,4,2
2,4,8,16,31,38,36,27,23,14,12,8,6,4,5,4,5,4,2
2,4,8,16,31,38,37,27,23,14,13,8,6,4,5,4,5,4,2
2,4,8,16,31,38,38,27,23,14,13,8,6,4,5,4,4,4,2
2,4,8,16,31,39,38,27,23,14,13,8,6,4,5,4,5,4,2
2,4,8,16,31,39,39,28,24,14,13,8,6,4,5,4,5,4,2
2,4,8,16,32,39,39,29,24,14,13,8,6,4,5,4,5,4,2
2,4,8,16,32,39,40,29,24,14,14,8,6,4,5,4,5,4,2
2,4,8,16,32,40,41,30,25,15,14,8,6,4,5,4,5,4,2
2,4,8,16,32,40,42,30,25,15,14,8,6,4,5,4,5,4,2
2,4,8,16,32,40,43,31,25,15,14,8,7,5,5,4,5,4,2
2,4,8,16,32,41,45,32,27,17,16,10,8,6,6,5,5,4,2
2,4,8,16,32,41,45,31,26,15,14,8,7,5,5,4,5,4,2
2,4,8,16,32,42,47,33,27,17,16,10,8,6,6,5,5,4,2
2,4,8,16,32,42,47,32,26,14,14,8,8,6,5,4,5,4,2
2,4,8,16,32,42,48,33,26,14,14,8,8,6,5,4,5,4,2
2,4,8,16,32,43,49,33,26,16,16,10,9,7,6,5,5,4,2
2,4,8,16,32,43,51,35,27,16,16,10,10,8,6,5,5,4,2
2,4,8,16,32,44,53,37,28,19,18,12,12,9,7,5,5,4,2
2,4,8,16,32,44,54,38,29,20,18,12,12,9,7,5,5,4,2
2,4,8,16,32,44,54,37,29,20,18,12,12,9,7,5,5,4,2
2,4,8,16,32,44,55,37,29,19,17,11,11,9,7,5,5,4,2
2,4,8,16,32,44,56,39,30,21,18,12,12,9,7,5,5,4,2
2,4,8,16,32,45,56,39,31,21,18,12,12,9,7,5,5,4,2
2,4,8,16,32,45,57,39,32,22,18,12,12,9,7,5,5,4,2
2,4,8,16,32,45,58,39,32,23,19,12,12,9,7,5,5,4,2
2,4,8,16,32,45,58,40,33,23,19,12,12,9,7,5,5,4,2
2,4,8,16,32,45,58,39,32,22,18,12,12,9,7,5,5,4,2
2,4,8,16,32,45,59,40,33,22,18,12,12,9,7,5,5,4,2
2,4,8,16,32,46,59,40,33,22,18,12,12,9,7,5,5,4,2
2,4,8,16,32,46,60,42,34,23,18,12,12,9,7,5,5,4,2
2,4,8,16,32,47,61,42,35,23,18,12,12,9,7,5,5,4,2
2,4,8,16,32,47,62,42,36,24,19,13,12,9,7,5,5,4,2
2,4,8,16,32,46,62,42,36,23,19,13,12,9,7,5,5,4,2
2,4,8,16,32,47,62,43,36,23,19,13,12,9,7,5,5,4,2
2,4,8,16,32,47,62,43,36,24,20,14,13,9,7,5,5,4,2
2,4,8,16,32,48,63,44,37,24,20,14,12,9,8,6,6,4,2
2,4,8,16,32,48,63,44,37,24,20,14,12,9,8,6,6,4,2
2,4,8,16,32,48,64,44,37,24,20,15,13,9,8,6,5,4,2
2,4,8,16,32,49,64,46,38,24,20,15,13,9,7,6,5,4,2
2,4,8,16,32,50,65,46,39,25,21,15,13,9,8,6,5,4,2
2,4,8,16,32,51,66,46,38,24,20,14,12,9,9,7,5,4,2
2,4,8,16,32,51,66,44,36,21,17,12,10,8,8,7,5,4,2
2,4,8,16,32,51,66,45,37,21,16,11,9,7,7,6,5,4,2
