bond_dim_1,bond_dim_2,bond_dim_3,bond_dim_4,bond_dim_5,bond_dim_6,bond_dim_7,bond_dim_8,bond_dim_9,bond_dim_10,bond_dim_11,bond_dim_12,bond_dim_13,bond_dim_14,bond_dim_15,bond_dim_16,bond_dim_17,bond_dim_18,bond_dim_19
2,4,8,13,12,17,16,15,15,10,10,6,6,4,4,4,4,4,2
2,4,8,14,16,22,19,19,16,12,10,6,6,4,4,4,4,4,2
2,4,8,15,18,22,21,21,18,12,10,6,6,4,4,4,4,4,2
2,4,8,15,18,23,23,22,19,12,10,6,6,4,5,4,4,4,2
2,4,8,16,19,24,24,23,20,13,10,6,6,4,4,4,4,4,2
2,4,8,16,20,26,25,23,21,14,11,7,6,4,5,4,4,4,2
2,4,8,16,21,28,26,23,22,14,12,7,6,4,4,4,4,4,2
2,4,8,16,22,29,26,24,22,14,11,7,6,4,5,4,4,4,2
2,4,8,16,22,30,27,24,22,14,12,8,6,4,5,4,4,4,2
2,4,8,16,22,30,28,24,22,14,12,7,6,4,5,4,4,4,2
2,4,8,16,22,31,28,24,22,14,13,8,6,4,5,4,5,4,2
2,4,8,16,22,31,28,24,22,14,13,8,6,4,5,4,5,4,2
2,4,8,16,22,32,29,24,22,14,13,8,6,4,5,4,5,4,2
2,4,8,16,22,32,29,24,22,14,13,8,6,4,5,4,5,4,2
2,4,8,16,22,32,29,24,22,14,13,8,6,4,5,4,4,4,2
2,4,8,16,22,32,29,24,22,14,13,8,6,4,5,4,4,4,2
2,4,8,16,22,31,28,24,22,14,13,8,6,4,5,4,5,4,2
2,4,8,16,22,30,28,24,22,14,13,8,6,4,5,4,5,4,2
2,4,8,16,21,29,27,23,22,14,12,7,6,4,5,4,4,4,2
2,4,8,16,21,29,27,23,22,14,12,8,6,4,5,4,4,4,2
2,4,8,16,20,28,27,23,22,14,12,7,6,4,5,4,4,4,2
2,4,8,16,20,29,27,24,22,14,11,7,6,4,5,4,4,4,2
2,4,8,16,20,28,27,24,22,14,12,8,6,4,5,4,4,4,2
2,4,8,16,20,28,27,23,22,14,12,7,6,4,5,4,4,4,2
2,4,8,16,20,28,27,23,22,14,11,7,6,4,5,4,4,4,2
2,4,8,16,21,29,27,23,22,14,12,8,6,4,5,4,4,4,2
2,4,8,16,21,30,28,24,22,14,12,7,6,4,5,4,4,4,2
2,4,8,16,22,30,28,24,22,14,11,7,6,4,5,4,4,4,2
2,4,8,16,22,30,28,24,22,14,12,8,6,4,5,4,4,4,2
2,4,8,16,22,30,28,24,22,14,12,7,6,4,5,4,4,4,2
2,4,8,16,22,30,28,24,22,14,11,7,6,4,5,4,4,4,2
2,4,8,16,22,30,28,24,22,14,12,8,6,4,5,4,4,4,2
2,4,8,16,22,30,28,24,22,14,12,7,6,4,5,4,4,4,2
2,4,8,16,22,30,28,24,22,14,11,7,6,4,5,4,4,4,2
2,4,8,16,21,29,27,24,22,14,12,8,6,4,5,4,4,4,2
2,4,8,16,21,28,27,23,20,13,11,7,6,4,4,4,4,4,2
2,4,8,16,21,28,26,23,21,14,11,7,6,4,4,4,4,4,2
2,4,8,16,21,28,26,23,21,14,11,7,6,4,4,4,4,4,2
2,4,8,16,21,28,26,23,20,13,10,7,6,4,5,4,4,4,2
2,4,8,16,21,28,26,22,20,12,10,7,6,4,5,4,4,4,2
2,4,8,16,21,29,26,22,20,13,10,6,6,4,5,4,4,4,2
2,4,8,16,22,29,26,22,20,13,10,6,6,4,5,4,4,4,2
2,4,8,16,22,30,28,23,20,13,10,6,6,4,5,4,4,4,2
2,4,8,16,23,30,28,23,21,14,11,7,6,4,5,4,4,4,2
2,4,8,16,23,31,29,23,21,14,12,7,6,4,5,4,4,4,2
2,4,8,16,23,32,30,23,21,14,11,7,6,4,5,4,4,4,2
2,4,8,16,24,32,30,24,22,14,12,8,6,4,5,4,5,4,2
2,4,8,16,24,34,31,24,22,14,13,8,6,4,5,4,5,4,2
2,4,8,16,25,34,31,24,22,14,13,8,6,4,5,4,4,4,2
2,4,8,16,25,35,32,25,23,15,13,8,6,4,5,4,4,4,2
2,4,8,16,26,35,32,25,23,15,13,8,6,4,5,4,4,4,2
2,4,8,16,27,36,33,26,24,15,14,8,6,4,5,4,4,4,2
2,4,8,16,28,36,32,25,23,14,14,8,6,4,5,4,4,4,2
2,4,8,16,28,37,33,25,23,14,13,8,6,4,5,4,4,4,2
2,4,8,16,28,37,33,25,23,14,14,8,6,4,5,4,4,4,2
2,4,8,16,29,38,34,26,23,14,13,8,6,4,5,4,4,4,2
2,4,8,16,29,39,35,26,23,14,14,8,6,4,5,4,4,4,2
2,4,8,16,30,40,37,27,24,14,14,8,6,4,5,4,4,4,2
2,4,8,16,30,40,37,27,24,14,14,8,7,5,5,4,4,4,2
2,4,8,16,30,40,38,28,24,14,14,8,6,5,5,4,4,4,2
2,4,8,16,30,40,38,28,24,14,14,8,8,6,5,4,4,4,2
2,4,8,16,30,41,38,28,24,14,14,8,8,6,5,4,4,4,2
2,4,8,16,30,41,39,28,24,14,14,8,8,6,5,4,4,4,2
2,4,8,16,31,41,39,28,24,14,14,8,8,6,5,4,4,4,2
2,4,8,16,31,41,39,28,24,14,14,8,8,6,5,4,4,4,2
2,4,8,16,31,41,40,30,25,15,16,10,10,8,7,5,5,4,2
2,4,8,16,31,42,40,30,25,15,16,10,10,8,7,5,5,4,2
2,4,8,16,31,42,40,30,25,15,16,10,10,8,7,5,5,4,2
2,4,8,16,31,42,41,30,26,16,17,11,11,9,7,5,5,4,2
2,4,8,16,31,42,41,31,26,16,17,11,11,9,7,5,5,4,2
2,4,8,16,32,43,41,31,26,17,17,11,11,9,7,5,5,4,2
2,4,8,16,32,43,42,31,26,17,17,12,11,9,7,5,5,4,2
2,4,8,16,32,43,42,31,26,18,18,12,11,9,7,5,5,4,2
