step,tci_time,mpo_time,step_time
1,0.972219944,0.123792886734,1.099789857864
2,0.969135046005,0.138327121735,1.111787080765
3,1.001243829727,0.135499000549,1.140433073044
4,1.183040857315,0.138306856155,1.325130939484
5,1.792240858078,0.137372016907,1.933379888535
6,1.322462081909,0.139499902725,1.465691804886
7,1.189809799194,0.143150806427,1.349406957626
8,1.20969414711,0.144459009171,1.358045816422
9,1.252401828766,0.142518997192,1.398790121078
10,1.481842041016,0.141648054123,1.627529144287
11,1.657449007034,0.144472122192,1.813125133514
12,1.668411970139,0.153020143509,1.825659990311
13,1.639563083649,0.146386861801,1.790322065353
14,1.50924706459,0.14385008812,1.657160997391
15,1.80029296875,0.143467187881,1.947895050049
16,1.662034034729,0.147905826569,1.813994884491
17,1.977910041809,0.143147945404,2.125380039215
18,1.470659017563,0.15114402771,1.638042926788
19,1.579630851746,0.15521812439,1.738849163055
20,1.392351865768,0.143202066422,1.539506912231
21,1.520546913147,0.142696142197,1.667638063431
22,1.761344909668,0.144844055176,1.910317897797
23,1.365573883057,0.145145177841,1.514969110489
24,1.247195005417,0.142188072205,1.393377065659
25,1.190868139267,0.143708944321,1.351588010788
26,1.350343942642,0.142472982407,1.496762037277
27,1.593657970428,0.142668008804,1.743929862976
28,2.278117179871,0.140600919724,2.422681808472
29,1.398354768753,0.144809961319,1.547055959702
30,1.469431877136,0.145523071289,1.619254112244
31,1.356810808182,0.140080928802,1.501311063766
32,1.705296039581,0.144413948059,1.866371870041
33,1.797950983047,0.141806125641,1.956955909729
34,1.773119926453,0.141888856888,1.919218063354
35,1.363925933838,0.143667936325,1.511492967606
36,1.273133993149,0.156054973602,1.445994853973
37,1.39021897316,0.140710830688,1.534863948822
38,1.514263868332,0.140212059021,1.658490896225
39,1.253156900406,0.143583059311,1.400720119476
40,1.784154891968,0.142325878143,1.930421829224
41,1.332999944687,0.139929056168,1.477224111557
42,1.320482969284,0.141686916351,1.48069691658
43,1.751965045929,0.143661022186,1.912725925446
44,1.235233068466,0.139981985092,1.392536878586
45,1.370313882828,0.157269954681,1.545798063278
46,1.811016798019,0.141844987869,1.956885099411
47,1.417557001114,0.146201133728,1.567646980286
48,1.423334121704,0.147655963898,1.575354814529
49,1.526412010193,0.147806882858,1.678869962692
50,1.522433996201,0.163722038269,1.690490961075
51,1.527684926987,0.154609918594,1.687434911728
52,1.909343957901,0.156045913696,2.083910942078
53,1.600646018982,0.158296108246,1.763543128967
54,1.627762794495,0.157381057739,1.789303064346
55,1.613605976105,0.156795024872,1.774472951889
56,1.579778909683,0.156908988953,1.740594148636
57,1.549912929535,0.168614864349,1.722550868988
58,2.005121231079,0.157604932785,2.16757106781
59,1.646869897842,0.160262823105,1.811613798141
60,1.819098949432,0.158753871918,1.981887817383
61,1.817509889603,0.162343025208,1.985033035278
62,2.051611185074,0.162595033646,2.218450069427
63,2.300020933151,0.161341905594,2.46551990509
64,2.87376999855,0.164478063583,3.043065071106
65,2.267447948456,0.161499977112,2.43343091011
66,2.454971075058,0.162354946136,2.621554851532
67,3.081619977951,0.165889024734,3.251825094223
68,3.195223093033,0.16552901268,3.365626096725
69,3.445551156998,0.166193962097,3.615953922272
70,2.926738023758,0.166352987289,3.110753059387
71,2.593194961548,0.169982910156,2.768182039261
72,4.565773010254,0.168439865112,4.739223957062
73,2.855693101883,0.170091152191,3.046319007874
74,2.870510816574,0.168637990952,3.05649805069
75,2.768758058548,0.168844938278,2.942569971085
76,3.406499147415,0.171415805817,3.59894490242
77,3.465718984604,0.174144029617,3.65966296196
78,3.101145982742,0.172841072083,3.291371107101
79,2.889432907104,0.17228603363,3.080757141113
80,3.647734880447,0.172641992569,3.839792966843
81,3.979109048843,0.173062086105,4.157433986664
82,3.739458799362,0.17277097702,3.916869878769
83,3.096470117569,0.174978971481,3.27664899826
84,4.421736955643,0.174677848816,4.601519823074
85,4.253045797348,0.174026966095,4.431903123856
86,3.564650058746,0.176162004471,3.758045196533
87,4.192359924316,0.177515983582,4.389620065689
88,3.975990056992,0.180549860001,4.17405796051
89,4.069784164429,0.182552814484,4.257162809372
90,4.906101942062,0.184646844864,5.095655918121
91,5.051717996597,0.184642076492,5.24144411087
92,4.798002004623,0.188797950745,4.995115995407
93,5.104208946228,0.190495014191,5.30252289772
94,5.194831848145,0.187800168991,5.388071060181
95,4.360734939575,0.192188978195,4.560837030411
96,5.013828992844,0.19251203537,5.210900068283
97,5.478360891342,0.197796821594,5.693737983704
98,5.10721206665,0.19549202919,5.310179948807
99,5.736129999161,0.196351051331,5.937269926071
100,5.052484035492,0.197813034058,5.255709886551
101,6.033514976501,0.204547166824,6.243637084961
102,6.370198965073,0.202483177185,6.590099096298
103,5.736511945724,0.203752994537,5.957940816879
104,7.232607126236,0.204483032227,7.442976951599
105,6.366280078888,0.205608844757,6.577870845795
106,7.88032412529,0.202234983444,8.100363016129
107,6.541616916656,0.203812837601,6.750602006912
108,5.947077989578,0.203647136688,6.156367063522
109,6.582973957062,0.205990076065,6.812048912048
110,6.878545999527,0.205457925797,7.092063903809
111,6.687005996704,0.205498933792,6.897794008255
112,7.214148044586,0.209973096848,7.430265188217
113,6.830165147781,0.212510108948,7.063259124756
114,6.773413896561,0.213106870651,6.991993904114
115,8.389023065567,0.218250989914,8.624836921692
116,8.22737288475,0.218735218048,8.450939178467
117,8.511897087097,0.220811128616,8.754361152649
118,7.977653980255,0.221378087997,8.21785902977
119,8.559728860855,0.22483921051,8.802725076675
120,8.753386974335,0.223330020905,8.982498884201
121,8.196443080902,0.228657007217,8.437060117722
