bond_dim_1,bond_dim_2,bond_dim_3,bond_dim_4,bond_dim_5,bond_dim_6,bond_dim_7,bond_dim_8,bond_dim_9,bond_dim_10,bond_dim_11,bond_dim_12,bond_dim_13,bond_dim_14,bond_dim_15,bond_dim_16,bond_dim_17,bond_dim_18,bond_dim_19
2,4,8,16,28,31,29,21,19,12,11,7,6,4,5,4,4,4,2
2,4,8,16,28,31,30,22,19,12,11,7,6,4,5,4,4,4,2
2,4,8,16,29,31,30,22,19,12,11,7,6,4,5,4,4,4,2
2,4,8,16,29,31,30,21,18,11,11,7,6,4,5,4,4,4,2
2,4,8,16,29,32,31,22,18,11,11,7,6,4,5,4,4,4,2
2,4,8,16,30,33,31,22,18,11,10,7,6,4,5,4,4,4,2
2,4,8,16,30,33,31,22,18,11,10,7,6,4,5,4,4,4,2
2,4,8,16,30,33,32,22,18,10,10,7,6,4,5,4,4,4,2
2,4,8,16,31,34,33,23,19,12,11,8,6,4,5,4,4,4,2
2,4,8,16,31,34,33,24,21,13,12,8,6,4,5,4,5,4,2
2,4,8,16,31,35,34,24,20,12,11,8,6,4,5,4,4,4,2
2,4,8,16,31,35,35,24,20,12,11,8,6,4,5,4,4,4,2
2,4,8,16,31,36,36,25,21,13,11,8,6,4,5,4,4,4,2
2,4,8,16,31,36,36,25,21,13,11,7,6,4,5,4,4,4,2
2,4,8,16,32,37,38,26,22,14,13,9,7,5,5,4,5,4,2
2,4,8,16,32,37,38,26,22,13,12,8,6,5,5,4,5,4,2
2,4,8,16,32,37,38,25,22,13,12,8,6,5,5,4,5,4,2
2,4,8,16,32,38,39,26,22,14,12,8,6,5,5,4,4,4,2
2,4,8,16,32,38,40,27,23,14,12,8,7,6,6,4,5,4,2
2,4,8,16,32,38,41,26,22,13,12,8,7,6,6,4,5,4,2
2,4,8,16,32,38,41,26,22,14,12,8,6,5,5,4,4,4,2
2,4,8,16,32,39,42,27,22,13,12,8,6,5,5,4,4,4,2
2,4,8,16,32,40,43,28,23,14,12,8,6,5,5,4,4,4,2
2,4,8,16,32,40,43,28,23,14,12,8,8,6,5,4,4,4,2
2,4,8,16,32,40,44,28,22,14,12,8,8,6,5,4,4,4,2
2,4,8,16,32,40,45,29,23,15,13,8,8,6,5,4,4,4,2
2,4,8,16,32,41,45,28,22,14,13,8,8,6,5,4,4,4,2
2,4,8,16,32,41,45,28,22,14,13,8,8,6,5,4,4,4,2
2,4,8,16,32,42,46,28,22,14,13,8,8,6,5,4,4,4,2
2,4,8,16,32,42,46,29,23,15,13,8,8,6,5,4,4,4,2
2,4,8,16,32,42,47,29,23,15,13,8,8,6,5,4,4,4,2
2,4,8,16,32,42,47,29,23,15,13,8,8,6,5,4,4,4,2
2,4,8,16,32,42,48,30,24,15,13,8,8,6,5,4,5,4,2
2,4,8,16,32,42,48,30,24,15,13,8,8,6,5,4,5,4,2
2,4,8,16,32,43,48,29,24,15,14,8,8,6,5,4,5,4,2
2,4,8,16,32,43,49,30,24,14,13,8,8,6,5,4,5,4,2
2,4,8,16,32,44,49,30,24,14,13,8,8,6,5,4,5,4,2
2,4,8,16,32,44,50,32,26,16,14,9,9,7,6,5,5,4,2
2,4,8,16,32,44,50,32,26,16,14,9,9,7,6,5,5,4,2
2,4,8,16,32,45,51,33,27,16,14,9,9,7,6,5,5,4,2
2,4,8,16,32,45,51,33,27,16,14,9,9,7,6,5,5,4,2
2,4,8,16,32,45,52,34,28,17,15,10,10,8,6,5,5,4,2
2,4,8,16,32,45,52,32,26,15,13,8,9,7,6,5,5,4,2
2,4,8,16,32,45,52,34,29,17,14,9,9,7,6,5,5,4,2
2,4,8,16,32,45,54,35,29,17,14,9,9,7,6,5,5,4,2
2,4,8,16,32,45,54,36,30,17,14,9,9,7,6,5,5,4,2
2,4,8,16,32,46,55,37,31,18,14,9,9,7,6,5,5,4,2
2,4,8,16,32,46,56,38,31,18,15,11,10,8,6,5,5,4,2
2,4,8,16,32,46,56,39,32,20,16,11,10,8,7,5,5,4,2
2,4,8,16,32,46,57,39,32,19,15,11,10,8,8,6,5,4,2
2,4,8,16,32,46,58,40,33,21,17,12,10,8,8,7,5,4,2
2,4,8,16,32,47,59,41,33,21,17,12,10,8,8,7,5,4,2
2,4,8,16,32,47,60,42,34,22,18,13,11,9,9,7,5,4,2
2,4,8,16,32,47,61,44,35,23,18,12,11,9,9,7,5,4,2
2,4,8,16,32,47,62,44,35,24,19,13,12,9,9,7,5,4,2
2,4,8,16,32,47,63,46,35,24,19,14,12,9,9,7,5,4,2
2,4,8,16,32,48,63,46,37,25,19,13,11,9,9,7,5,4,2
2,4,8,16,32,48,65,46,37,25,20,14,12,9,9,7,5,4,2
2,4,8,16,32,49,66,47,37,25,20,13,11,9,9,7,5,4,2
2,4,8,16,32,49,67,48,38,26,21,14,12,9,9,7,5,4,2
2,4,8,16,32,50,67,48,38,25,21,14,12,9,9,7,5,4,2
2,4,8,16,32,50,69,48,38,25,21,14,12,9,9,7,5,4,2
2,4,8,16,32,50,70,50,38,24,20,13,11,8,9,7,5,4,2
2,4,8,16,32,50,71,52,39,25,21,14,12,9,9,7,5,4,2
2,4,8,16,32,51,73,53,41,26,22,15,13,9,9,7,5,4,2
2,4,8,16,32,51,74,54,42,26,22,15,13,9,9,7,6,4,2
2,4,8,16,32,51,75,56,43,27,22,15,13,9,9,7,6,4,2
2,4,8,16,32,52,77,57,44,27,22,15,13,9,9,7,6,4,2
2,4,8,16,32,52,78,57,45,29,23,17,14,10,9,7,5,4,2
2,4,8,16,32,52,80,59,46,30,23,17,14,10,9,7,5,4,2
2,4,8,16,32,54,81,60,46,30,22,16,13,9,8,7,6,4,2
2,4,8,16,32,55,82,62,48,31,24,17,14,10,9,7,6,4,2
2,4,8,16,32,55,83,64,51,33,26,18,14,10,9,7,5,4,2
2,4,8,16,32,56,85,64,51,32,25,17,14,10,8,7,5,4,2
2,4,8,16,32,56,86,67,53,34,27,18,14,10,9,7,5,4,2
2,4,8,16,32,56,88,69,55,36,28,19,15,11,9,7,6,4,2
2,4,8,16,32,56,89,70,54,35,27,17,14,10,9,7,6,4,2
2,4,8,16,32,56,91,74,59,41,30,20,16,12,10,8,6,4,2
2,4,8,16,32,56,93,74,56,35,27,16,13,9,8,6,5,4,2
2,4,8,16,32,56,93,77,58,36,27,17,13,9,8,6,5,4,2
2,4,8,16,32,56,94,80,62,40,29,20,16,11,9,7,5,4,2
2,4,8,16,32,56,95,82,63,39,28,18,14,9,8,6,5,4,2
2,4,8,16,32,56,98,84,63,38,28,19,15,10,8,6,5,4,2
2,4,8,16,32,56,98,87,67,43,31,21,15,10,8,7,5,4,2
2,4,8,16,32,56,99,90,69,44,32,22,16,11,9,7,5,4,2
2,4,8,16,32,57,100,93,69,44,33,22,16,11,9,7,5,4,2
2,4,8,16,32,57,102,97,73,46,34,23,17,12,9,7,5,4,2
2,4,8,16,32,58,102,99,74,47,34,23,17,12,9,7,5,4,2
2,4,8,16,32,59,104,101,75,48,35,23,18,13,10,7,5,4,2
2,4,8,16,32,59,105,104,77,48,36,24,18,13,10,7,5,4,2
2,4,8,16,32,59,106,106,79,51,38,25,19,14,12,8,5,4,2
2,4,8,16,32,59,107,109,79,50,37,24,19,13,11,8,5,4,2
2,4,8,16,32,59,107,108,81,52,38,25,19,13,11,9,5,4,2
2,4,8,16,32,59,108,110,83,53,38,25,19,14,12,9,5,4,2
2,4,8,16,32,59,109,111,85,56,40,27,20,14,12,9,5,4,2
2,4,8,16,32,60,110,113,84,54,38,25,19,14,12,9,5,4,2
2,4,8,16,32,60,111,113,84,54,38,25,19,14,12,9,5,4,2
2,4,8,16,32,61,112,116,87,56,39,26,20,15,12,9,5,4,2
2,4,8,16,32,61,112,116,87,56,40,27,20,15,12,9,5,4,2
2,4,8,16,32,61,113,116,86,55,39,26,20,15,12,9,5,4,2
2,4,8,16,32,62,113,118,89,56,39,27,20,15,12,9,5,4,2
2,4,8,16,32,62,114,118,89,57,40,28,21,15,12,9,6,4,2
2,4,8,16,32,62,116,117,88,55,39,26,19,14,11,9,5,4,2
2,4,8,16,32,62,116,117,88,55,39,26,19,14,11,9,5,4,2
2,4,8,16,32,63,116,117,88,55,39,26,19,14,11,9,5,4,2
2,4,8,16,32,63,118,117,87,54,39,26,19,14,11,9,5,4,2
2,4,8,16,32,64,117,118,88,55,39,26,19,14,11,9,5,4,2
2,4,8,16,32,64,118,118,89,55,39,26,19,14,11,9,5,4,2
2,4,8,16,32,64,119,118,87,53,38,26,19,14,11,9,5,4,2
2,4,8,16,32,64,119,117,86,53,38,25,19,14,11,9,5,4,2
2,4,8,16,32,64,119,116,86,53,38,25,19,14,11,9,5,4,2
2,4,8,16,32,64,118,115,85,53,38,25,19,14,11,9,5,4,2
2,4,8,16,32,64,120,116,86,54,38,25,19,14,11,9,5,4,2
2,4,8,16,32,64,119,117,86,54,38,26,19,14,11,9,5,4,2
2,4,8,16,32,64,120,117,86,54,38,25,19,14,11,9,5,4,2
2,4,8,16,32,64,120,115,86,53,38,25,19,14,11,9,5,4,2
2,4,8,16,32,64,120,117,88,56,40,27,20,14,12,9,5,4,2
2,4,8,16,32,64,119,117,87,56,40,27,20,14,12,9,5,4,2
2,4,8,16,32,64,120,117,88,57,40,27,20,14,12,9,5,4,2
2,4,8,16,32,64,120,118,88,57,40,27,20,14,12,9,5,4,2
2,4,8,16,32,64,121,117,88,57,40,27,20,14,12,9,5,4,2
2,4,8,16,32,64,122,118,87,55,39,26,20,14,12,9,5,4,2
2,4,8,16,32,64,122,117,86,55,39,26,20,15,12,9,5,4,2
2,4,8,16,32,64,123,117,86,55,39,26,20,14,11,9,5,4,2
2,4,8,16,32,64,124,116,84,53,38,25,19,14,11,9,5,4,2
2,4,8,16,32,64,124,115,83,52,38,25,19,14,11,9,5,4,2
2,4,8,16,32,64,125,113,82,52,38,25,19,14,11,9,5,4,2
2,4,8,16,32,64,124,113,81,52,38,25,19,13,11,9,5,4,2
2,4,8,16,32,64,124,112,82,52,38,25,19,13,11,9,5,4,2
2,4,8,16,32,64,125,112,80,49,36,23,18,13,11,9,5,4,2
2,4,8,16,32,64,125,112,80,50,36,23,18,13,11,9,5,4,2
2,4,8,16,32,64,125,111,80,49,36,23,18,13,11,9,5,4,2
2,4,8,16,32,64,125,111,80,49,36,23,18,13,11,9,5,4,2
2,4,8,16,32,64,125,111,80,49,36,23,18,13,11,9,5,4,2
2,4,8,16,32,64,125,111,81,50,37,23,18,13,10,8,5,4,2
2,4,8,16,32,64,125,111,81,50,37,24,18,13,10,8,5,4,2
2,4,8,16,32,64,125,111,81,50,37,24,18,13,10,8,5,4,2
2,4,8,16,32,64,125,110,81,50,37,23,18,13,10,8,5,4,2
2,4,8,16,32,64,125,110,79,48,36,23,17,13,10,8,5,4,2
2,4,8,16,32,64,126,110,80,49,37,24,18,13,10,8,5,4,2
2,4,8,16,32,64,126,111,81,50,37,24,18,13,10,8,5,4,2
2,4,8,16,32,64,125,114,82,52,38,24,18,13,10,8,5,4,2
2,4,8,16,32,64,125,114,82,52,38,25,18,13,10,8,5,4,2
2,4,8,16,32,64,126,111,81,50,37,24,18,13,10,8,5,4,2
2,4,8,16,32,64,126,112,80,50,37,24,18,13,10,8,5,4,2
2,4,8,16,32,64,126,113,82,52,38,25,18,13,10,8,5,4,2
2,4,8,16,32,64,126,113,83,52,38,24,18,13,10,8,5,4,2
2,4,8,16,32,64,126,113,82,51,38,24,18,13,10,8,5,4,2
2,4,8,16,32,64,126,113,82,51,37,24,18,13,10,8,5,4,2
2,4,8,16,32,64,127,112,80,50,37,24,19,14,11,9,5,4,2
2,4,8,16,32,64,126,112,80,50,37,24,19,14,11,9,5,4,2
2,4,8,16,32,64,126,114,81,51,37,24,19,14,11,9,5,4,2
2,4,8,16,32,64,126,112,81,52,38,25,19,14,11,9,5,4,2
2,4,8,16,32,64,126,113,81,51,37,25,19,14,11,9,5,4,2
2,4,8,16,32,64,126,113,81,53,37,25,19,14,11,9,5,4,2
2,4,8,16,32,64,125,114,81,53,37,25,19,14,11,9,5,4,2
2,4,8,16,32,64,126,113,80,52,37,25,19,14,11,8,5,4,2
2,4,8,16,32,64,126,112,80,51,37,25,19,14,11,8,5,4,2
2,4,8,16,32,64,125,111,79,50,36,24,18,13,11,8,5,4,2
2,4,8,16,32,64,126,111,78,50,36,24,18,13,10,8,5,4,2
2,4,8,16,32,64,125,112,79,51,36,25,18,13,10,8,5,4,2
2,4,8,16,32,64,126,111,78,50,36,24,18,13,10,8,5,4,2
