bond_dim_1,bond_dim_2,bond_dim_3,bond_dim_4,bond_dim_5,bond_dim_6,bond_dim_7,bond_dim_8,bond_dim_9,bond_dim_10,bond_dim_11,bond_dim_12,bond_dim_13,bond_dim_14,bond_dim_15,bond_dim_16,bond_dim_17,bond_dim_18,bond_dim_19
2,4,6,10,9,11,10,11,10,7,6,4,3,2,2,2,2,2,2
2,4,6,11,11,12,12,12,12,9,8,6,4,3,3,2,2,2,2
2,4,6,11,11,12,12,12,12,9,9,6,6,4,3,2,2,2,2
2,4,7,13,11,13,13,13,12,9,9,6,6,4,4,3,2,2,2
2,4,8,14,12,14,13,13,12,9,9,6,6,5,5,4,3,2,2
2,4,8,14,14,16,16,15,13,9,9,5,5,4,4,3,2,2,2
2,4,8,14,14,17,16,15,13,9,9,5,6,4,5,4,2,2,2
2,4,8,14,15,18,16,15,14,9,9,5,6,4,5,4,3,3,2
2,4,8,14,15,18,17,15,14,8,8,4,5,4,4,4,3,3,2
2,4,8,15,16,19,17,15,14,8,8,5,5,4,4,4,3,3,2
2,4,8,15,16,19,17,15,14,8,8,5,5,4,4,4,3,3,2
2,4,8,15,16,19,17,16,14,8,8,5,5,4,5,4,4,3,2
2,4,8,15,16,19,18,16,14,8,8,5,5,4,5,4,4,3,2
2,4,8,15,17,19,18,16,14,8,8,5,5,4,5,4,4,3,2
2,4,8,15,17,19,18,16,14,8,8,5,5,4,5,4,4,3,2
2,4,8,15,17,19,18,16,14,8,8,4,5,4,4,4,4,3,2
2,4,8,15,17,19,18,15,14,8,8,4,5,4,4,4,4,3,2
2,4,8,15,16,19,17,15,14,8,8,4,5,4,4,4,4,3,2
2,4,8,15,16,19,17,15,14,8,8,4,5,4,4,4,3,3,2
2,4,8,15,16,19,17,15,14,8,8,4,5,4,4,4,3,3,2
2,4,8,14,16,18,17,15,14,8,8,4,5,4,4,4,3,3,2
2,4,8,14,15,18,17,15,14,8,8,4,5,4,4,4,3,3,2
2,4,8,14,15,18,17,15,14,8,8,4,5,4,4,4,3,3,2
2,4,8,14,15,18,17,15,14,8,8,4,5,4,4,4,3,3,2
2,4,8,14,16,18,17,15,14,8,8,4,5,4,4,4,3,3,2
2,4,8,14,16,18,17,15,14,8,8,4,5,4,4,4,3,3,2
2,4,8,14,16,18,17,15,14,8,8,4,5,4,4,4,3,3,2
2,4,8,14,16,18,17,15,14,8,8,4,5,4,4,4,3,3,2
2,4,8,14,16,18,17,15,14,8,8,4,5,4,4,4,3,3,2
2,4,8,14,16,18,17,15,14,8,8,4,5,4,4,4,3,3,2
2,4,8,14,16,18,17,15,14,8,8,4,5,4,4,4,3,3,2
2,4,8,14,16,18,17,15,14,8,8,4,5,4,4,4,3,3,2
2,4,8,14,16,18,17,15,14,8,8,4,5,4,4,4,3,3,2
2,4,8,14,16,18,17,15,13,8,8,4,5,4,5,4,3,3,2
2,4,8,14,15,18,17,15,13,8,8,4,5,4,5,4,3,3,2
2,4,8,14,15,17,17,15,13,8,8,4,5,4,5,4,2,2,2
2,4,8,14,15,17,16,15,12,8,8,4,5,4,5,4,2,2,2
2,4,8,14,15,17,15,14,12,8,8,4,5,4,4,4,2,2,2
2,4,8,14,15,17,16,14,12,8,8,4,5,4,4,4,2,2,2
2,4,8,14,15,18,17,15,13,8,8,4,5,4,4,3,2,2,2
2,4,8,14,15,18,17,14,13,8,8,5,5,4,4,3,2,2,2
2,4,8,14,15,19,17,14,13,8,8,4,5,4,4,3,2,2,2
2,4,8,14,15,19,18,15,13,8,8,4,5,4,4,3,2,2,2
2,4,8,15,16,19,18,15,13,8,8,4,5,4,5,4,2,2,2
2,4,8,15,16,19,18,15,13,8,8,4,5,4,5,4,2,2,2
2,4,8,15,16,20,18,15,14,8,8,4,5,4,5,4,3,3,2
2,4,8,15,17,20,19,16,14,8,8,4,5,4,5,4,3,3,2
2,4,8,15,17,20,20,16,14,8,8,4,5,4,5,4,4,3,2
2,4,8,15,17,20,20,16,14,8,8,4,5,4,5,4,4,3,2
2,4,8,15,18,20,20,17,14,9,8,4,5,4,4,4,4,4,2
2,4,8,15,18,20,20,18,14,9,8,4,5,4,5,4,4,4,2
2,4,8,15,18,20,20,18,14,9,8,4,5,4,5,4,4,4,2
2,4,8,16,18,20,20,18,14,9,8,4,5,4,5,4,4,4,2
2,4,8,16,19,21,20,18,15,9,8,4,5,4,5,4,4,4,2
2,4,8,16,19,22,21,19,16,11,9,6,6,4,5,4,4,4,2
2,4,8,16,20,22,21,19,15,9,8,4,5,4,5,4,4,4,2
2,4,8,16,20,23,21,19,15,9,8,5,5,4,5,4,5,4,2
2,4,8,16,21,25,22,20,17,11,9,6,6,4,5,4,5,4,2
2,4,8,16,21,25,22,20,17,11,9,6,6,4,5,4,5,4,2
2,4,8,16,21,25,22,19,16,10,8,5,5,4,5,4,4,4,2
2,4,8,16,22,26,23,20,17,11,9,6,6,4,5,4,4,4,2
2,4,8,16,22,26,23,20,17,11,9,6,6,4,5,4,4,4,2
2,4,8,16,22,26,23,21,17,11,9,6,6,4,5,4,4,4,2
2,4,8,16,23,26,24,21,18,12,11,7,7,5,5,4,4,4,2
2,4,8,16,23,26,24,21,18,12,11,7,7,5,5,4,4,4,2
2,4,8,16,23,26,24,21,18,12,11,7,7,5,5,4,4,4,2
2,4,8,16,23,26,24,21,18,12,11,7,7,5,5,4,4,4,2
2,4,8,16,23,27,25,21,18,12,11,7,7,5,5,4,4,4,2
2,4,8,16,23,27,25,21,18,12,11,7,7,5,5,4,4,4,2
2,4,8,16,24,27,25,22,19,13,11,7,7,5,5,4,4,4,2
2,4,8,16,24,28,25,22,19,13,11,7,7,5,5,4,4,4,2
2,4,8,16,25,29,26,22,19,12,11,7,7,5,5,4,4,4,2
2,4,8,16,26,29,26,22,19,13,11,7,7,5,5,4,4,4,2
2,4,8,16,26,30,26,22,19,13,11,7,7,5,5,4,4,4,2
2,4,8,16,26,30,26,22,19,13,11,7,7,5,5,4,4,4,2
2,4,8,16,27,30,27,22,20,13,11,7,7,5,5,4,4,4,2
2,4,8,16,27,30,27,22,20,13,11,7,7,5,5,4,4,4,2
2,4,8,16,27,30,27,22,20,13,11,7,7,5,5,4,5,4,2
2,4,8,16,27,30,28,22,20,13,11,7,7,5,5,4,5,4,2
2,4,8,16,28,30,28,22,20,14,11,7,7,5,5,4,4,4,2
2,4,8,16,28,31,29,22,20,14,11,7,7,5,5,4,5,4,2
2,4,8,16,28,31,30,23,21,14,11,7,7,5,5,4,5,4,2
2,4,8,16,28,32,30,23,21,14,11,7,7,5,5,4,5,4,2
2,4,8,16,28,32,31,23,21,14,11,7,7,5,5,4,4,4,2
2,4,8,16,28,32,31,24,21,14,11,7,7,5,5,4,5,4,2
2,4,8,16,29,32,32,24,22,15,12,8,7,5,5,4,5,4,2
2,4,8,16,29,33,32,23,21,13,10,6,6,4,5,4,4,4,2
2,4,8,16,29,33,33,24,21,14,11,7,7,5,5,4,5,4,2
