step,tci_time,mpo_time,step_time
1,1.905175924301,0.227415800095,2.0
2,0.740484952927,0.163465976715,0.946205854416
3,1.583493947983,0.167223930359,1.759505033493
4,0.798303127289,0.184140920639,0.99289393425
5,0.764969110489,0.163007974625,0.936419963837
6,0.684918880463,0.169849872589,0.863416910172
7,0.754590034485,0.173034906387,0.936059951782
8,0.769339084625,0.16602897644,0.944833993912
9,0.811627864838,0.167960882187,0.98918390274
10,0.765803098679,0.166508197784,0.941297054291
11,0.773645877838,0.167976140976,0.950974941254
12,0.760215997696,0.167806863785,0.937400817871
13,0.731182098389,0.168670892715,0.908305883408
14,0.737730979919,0.165294885635,0.937860012054
15,0.707810163498,0.163506031036,0.879747152328
16,0.734021902084,0.163599967957,0.905959844589
17,0.710695981979,0.16647195816,0.88557600975
18,0.765045881271,0.166386842728,0.940106868744
19,0.746458053589,0.166079044342,0.922039985657
20,0.793783903122,0.17192196846,0.975041866302
21,0.862365961075,0.172670841217,1.045076847076
22,0.819233894348,0.171728134155,1.00049996376
23,0.921509981155,0.169814109802,1.099893093109
24,0.848523855209,0.170239210129,1.028261184692
25,1.020219087601,0.183370113373,1.21238899231
26,0.878038883209,0.177556037903,1.10480093956
27,0.97062587738,0.197954893112,1.177297830582
28,0.933045864105,0.173243045807,1.115144014359
29,1.07356595993,0.180350065231,1.262844085693
30,1.071512937546,0.171261072159,1.252124071121
31,1.055258989334,0.190623998642,1.258769989014
32,1.152270078659,0.170003890991,1.332524061203
33,0.981052160263,0.168349027634,1.158141851425
34,1.096488952637,0.167613983154,1.283241033554
35,1.163707971573,0.167736053467,1.340266942978
36,0.844309091568,0.174890041351,1.028956890106
37,0.883067846298,0.171180009842,1.063591957092
38,0.807168960571,0.165182113647,0.981078147888
39,1.198210000992,0.17086315155,1.378158092499
40,1.074191808701,0.17055106163,1.254832029343
41,1.102565050125,0.170686006546,1.283044099808
42,1.14411687851,0.171761035919,1.324976921082
43,1.12943983078,0.172235012054,1.34107208252
