step,time,charge,ef_energy,ef_energy_mode1,kinetic_energy,total_energy,momentum,tt_norm,bond_dimension,elapsed_time
1,0.1,12.566442268764,0.125603887302,0.125603886936,6.284659393947,6.410263281249,1.3440372e-5,157.39469302544433,10,0.8992228508
2,0.2,12.566368401408,0.122466293033,0.122466265509,6.289285364104,6.411751657137,-2.8427882e-5,157.39474569795215,10,3.147573947906
3,0.3,12.566390706104,0.116387553501,0.116387307845,6.296596475089,6.41298402859,-4.918172e-5,157.39489983064206,11,4.204519987106
4,0.4,12.566377704001,0.107697253929,0.107696406561,6.306311425089,6.414008679018,-5.489852e-5,157.3950497827659,11,5.181684970856
5,0.5,12.566412872767,0.096858900799,0.096856890401,6.31798678503,6.414845685829,-4.8094926e-5,157.39506136832637,11,6.234853982925
6,0.6,12.566400228514,0.084434822576,0.084431216125,6.330920065012,6.415354887588,-6.0782136e-5,157.39509224851673,12,7.424140930176
7,0.7,12.566370258232,0.071083848486,0.071078430771,6.344327464798,6.415411313284,-0.000103500304,157.3951567677018,12,8.47139787674
8,0.8,12.566364969674,0.057482670083,0.057475730979,6.357879731334,6.415362401417,-0.000153225817,157.39504992076448,12,9.536329984665
9,0.9,12.566378401815,0.044293680021,0.044285961909,6.370623163949,6.41491684397,-0.000188146108,157.39497208651304,13,10.644634008408
10,1.0,12.566401916384,0.032126611264,0.032119120419,6.382203841808,6.414330453072,-0.000189168131,157.39490178222357,13,11.660097837448
11,1.1,12.566378840122,0.021498972806,0.021492773364,6.391769857209,6.413268830015,-0.000185049344,157.3950850392744,13,13.931562900543
12,1.2,12.566402916142,0.012804980309,0.012800809912,6.399261290092,6.4120662704010005,-0.000165737136,157.39525223371533,13,15.033396959305
13,1.3,12.566354325041,0.006305128445,0.006303127729,6.40437410893,6.410679237375,-0.000144213523,157.39560045424471,13,16.014545917511
14,1.4,12.566444776741,0.002107827431,0.002107401946,6.407604319736,6.409712147167,-0.000111513616,157.3953738688615,13,16.937760829926
15,1.5,12.566372761748,0.000175194475,0.000175088336,6.408407011856,6.408582206331,-0.000103221716,157.39534476999827,13,17.834493875504
16,1.6,12.566395074795,0.000329487429,0.000328032593,6.407410572232,6.407740059661,-7.7032782e-5,157.39519554085467,13,18.670194864273
17,1.7,12.566386263287,0.002273971258,0.002269476113,6.404749060001,6.407023031259,-9.1088526e-5,157.39509739590517,13,19.694491863251
18,1.8,12.566375328473,0.005620599432,0.005611785151,6.400803085235,6.406423684667001,-8.7960632e-5,157.39518776215627,13,20.694571018219
