bond_dim_1,bond_dim_2,bond_dim_3,bond_dim_4,bond_dim_5,bond_dim_6,bond_dim_7,bond_dim_8,bond_dim_9,bond_dim_10,bond_dim_11,bond_dim_12,bond_dim_13,bond_dim_14,bond_dim_15,bond_dim_16,bond_dim_17,bond_dim_18,bond_dim_19
2,4,7,10,10,6,7,6,5,4,4,4,4,4,4,4,4,4,2
2,4,8,10,10,6,7,6,5,4,4,4,4,4,4,4,4,4,2
2,4,8,11,10,7,7,6,5,4,4,4,4,4,4,4,4,4,2
2,4,8,11,10,7,7,6,5,4,4,4,4,4,4,4,4,4,2
2,4,8,11,10,7,8,6,5,4,4,4,4,4,4,4,4,4,2
2,4,8,12,10,7,8,6,5,4,4,4,4,4,4,4,4,4,2
2,4,8,12,11,7,8,7,5,4,4,4,4,4,4,4,4,4,2
2,4,8,12,12,9,9,7,5,4,4,4,4,4,4,4,4,4,2
2,4,8,13,12,9,9,7,5,4,4,4,4,4,4,4,4,4,2
2,4,8,13,12,9,9,7,6,5,4,4,4,4,4,4,4,4,2
2,4,8,13,12,9,9,7,7,6,5,4,4,4,4,4,4,4,2
2,4,8,13,12,9,9,7,6,5,5,4,4,4,4,4,4,4,2
2,4,8,13,13,9,9,7,7,6,5,4,4,4,4,4,4,4,2
2,4,8,13,13,9,9,7,6,5,5,4,4,4,4,4,4,4,2
2,4,8,13,13,9,9,7,7,6,5,4,4,4,4,4,4,4,2
2,4,8,13,13,9,9,7,6,5,5,4,4,4,4,4,4,4,2
2,4,8,13,13,9,9,7,6,5,5,4,4,4,4,4,4,4,2
2,4,8,13,13,10,10,7,6,5,5,4,4,4,4,4,4,4,2
2,4,8,13,13,10,10,7,6,5,5,4,4,4,4,4,4,4,2
2,4,8,13,13,11,10,7,6,4,5,4,4,4,4,4,4,4,2
2,4,8,14,13,11,10,7,6,4,4,4,4,4,4,4,4,4,2
2,4,8,14,13,11,10,7,6,4,4,4,4,4,4,4,4,4,2
2,4,8,14,14,11,10,7,6,4,5,4,4,4,4,4,4,4,2
2,4,8,14,14,11,10,7,6,4,5,4,4,4,4,4,4,4,2
2,4,8,14,14,11,10,7,6,5,5,4,4,4,4,4,4,4,2
2,4,8,14,14,12,11,7,6,5,5,4,4,4,4,4,4,4,2
2,4,8,14,14,12,11,7,6,5,5,4,4,4,4,4,4,4,2
2,4,8,14,14,12,11,7,6,5,5,4,4,4,4,4,4,4,2
2,4,8,14,15,12,11,8,6,5,5,4,4,4,4,4,4,4,2
2,4,8,14,15,12,11,8,6,5,5,4,4,4,4,4,4,4,2
2,4,8,15,16,13,12,8,6,5,5,4,4,4,4,4,4,4,2
2,4,8,15,16,13,12,8,6,5,5,4,4,4,4,4,4,4,2
2,4,8,15,16,13,12,8,6,5,5,4,4,4,4,4,4,4,2
2,4,8,15,17,13,12,8,6,5,5,4,4,4,4,4,4,4,2
2,4,8,15,17,13,12,8,6,5,5,4,4,4,4,4,4,4,2
2,4,8,15,17,13,12,8,6,5,5,4,4,4,4,4,4,4,2
2,4,8,15,17,14,12,8,6,5,5,4,4,4,4,4,4,4,2
2,4,8,15,17,14,12,8,6,5,5,4,4,4,4,4,4,4,2
2,4,8,16,17,14,12,8,6,5,5,4,4,4,4,4,4,4,2
2,4,8,16,17,14,12,8,6,5,5,4,4,4,4,4,4,4,2
2,4,8,16,18,14,12,8,6,5,5,4,4,4,4,4,4,4,2
2,4,8,16,18,14,12,8,6,5,5,4,5,4,4,4,4,4,2
2,4,8,16,18,14,12,8,6,5,5,4,5,4,4,4,4,4,2
2,4,8,16,18,14,13,9,7,6,6,4,5,4,4,4,4,4,2
2,4,8,16,17,14,13,9,7,6,6,4,5,4,4,4,4,4,2
2,4,8,16,17,14,13,9,7,6,6,4,5,4,4,4,4,4,2
2,4,8,16,18,14,13,9,7,6,6,4,5,4,4,4,4,4,2
2,4,8,16,18,14,12,9,7,6,6,4,5,4,4,4,4,4,2
2,4,8,16,19,15,13,9,7,6,6,4,5,4,4,4,4,4,2
2,4,8,16,19,15,13,9,7,6,6,5,5,4,4,4,4,4,2
2,4,8,16,19,15,13,10,8,6,6,5,5,4,5,4,4,4,2
2,4,8,16,19,15,13,10,8,6,6,5,5,4,5,4,4,4,2
2,4,8,16,20,16,13,10,8,6,6,5,5,4,5,4,4,4,2
2,4,8,16,19,16,13,10,8,6,6,5,6,4,5,4,4,4,2
2,4,8,16,19,16,14,10,8,6,6,5,6,4,5,4,4,4,2
2,4,8,16,19,16,14,10,8,6,6,5,6,4,5,4,4,4,2
2,4,8,16,20,16,14,10,8,6,6,5,6,4,5,4,4,4,2
2,4,8,16,20,17,14,10,8,6,6,5,6,4,5,4,4,4,2
2,4,8,16,20,17,14,10,8,6,6,6,6,4,5,4,4,4,2
2,4,8,16,20,17,14,10,8,6,6,6,6,4,5,4,4,4,2
2,4,8,16,21,17,14,10,8,6,6,6,6,4,5,4,4,4,2
2,4,8,16,21,17,14,10,8,7,7,6,6,5,5,4,4,4,2
2,4,8,16,21,17,14,10,8,7,7,6,6,5,5,4,4,4,2
2,4,8,16,21,17,14,10,8,7,7,6,6,5,5,4,4,4,2
2,4,8,16,21,17,14,10,8,7,7,6,6,5,5,4,4,4,2
2,4,8,16,20,17,14,10,8,7,7,6,6,5,5,4,4,4,2
2,4,8,16,20,17,14,11,9,7,7,6,6,5,5,4,4,4,2
2,4,8,15,20,17,14,11,9,7,7,6,6,5,5,4,4,4,2
2,4,8,15,20,17,14,11,8,6,6,6,6,4,5,4,4,4,2
2,4,8,15,20,17,14,11,8,6,6,6,6,4,5,4,4,4,2
